ch_id,freq_thz,freq_ghz,wavelength
,191.275,191275,1567.337383
,191.28125,191281.25,1567.286172
,191.2875,191287.5,1567.234963
,191.29375,191293.75,1567.183758
,191.3,191300,1567.132556
,191.30625,191306.25,1567.081358
,191.3125,191312.5,1567.030163
,191.31875,191318.75,1566.978971
,191.325,191325,1566.927783
,191.33125,191331.25,1566.876598
,191.3375,191337.5,1566.825416
,191.34375,191343.75,1566.774237
96,191.35,191350,1566.723062
,191.35625,191356.25,1566.671891
,191.3625,191362.5,1566.620722
,191.36875,191368.75,1566.569557
,191.375,191375,1566.518396
,191.38125,191381.25,1566.467238
,191.3875,191387.5,1566.416083
,191.39375,191393.75,1566.364931
95,191.4,191400,1566.313783
,191.40625,191406.25,1566.262638
,191.4125,191412.5,1566.211496
,191.41875,191418.75,1566.160358
,191.425,191425,1566.109223
,191.43125,191431.25,1566.058091
,191.4375,191437.5,1566.006963
,191.44375,191443.75,1565.955838
94,191.45,191450,1565.904717
,191.45625,191456.25,1565.853598
,191.4625,191462.5,1565.802484
,191.46875,191468.75,1565.751372
,191.475,191475,1565.700264
,191.48125,191481.25,1565.649159
,191.4875,191487.5,1565.598057
,191.49375,191493.75,1565.546959
93,191.5,191500,1565.495864
,191.50625,191506.25,1565.444773
,191.5125,191512.5,1565.393684
,191.51875,191518.75,1565.3426
,191.525,191525,1565.291518
,191.53125,191531.25,1565.24044
,191.5375,191537.5,1565.189365
,191.54375,191543.75,1565.138293
92,191.55,191550,1565.087225
,191.55625,191556.25,1565.03616
,191.5625,191562.5,1564.985099
,191.56875,191568.75,1564.934041
,191.575,191575,1564.882986
,191.58125,191581.25,1564.831934
,191.5875,191587.5,1564.780886
,191.59375,191593.75,1564.729841
91,191.6,191600,1564.6788
,191.60625,191606.25,1564.627761
,191.6125,191612.5,1564.576726
,191.61875,191618.75,1564.525695
,191.625,191625,1564.474667
,191.63125,191631.25,1564.423642
,191.6375,191637.5,1564.37262
,191.64375,191643.75,1564.321602
90,191.65,191650,1564.270587
,191.65625,191656.25,1564.219575
,191.6625,191662.5,1564.168567
,191.66875,191668.75,1564.117562
,191.675,191675,1564.066561
,191.68125,191681.25,1564.015562
,191.6875,191687.5,1563.964567
,191.69375,191693.75,1563.913576
89,191.7,191700,1563.862587
,191.70625,191706.25,1563.811602
,191.7125,191712.5,1563.760621
,191.71875,191718.75,1563.709642
,191.725,191725,1563.658667
,191.73125,191731.25,1563.607696
,191.7375,191737.5,1563.556727
,191.74375,191743.75,1563.505762
88,191.75,191750,1563.454801
,191.75625,191756.25,1563.403842
,191.7625,191762.5,1563.352887
,191.76875,191768.75,1563.301935
,191.775,191775,1563.250987
,191.78125,191781.25,1563.200042
,191.7875,191787.5,1563.1491
,191.79375,191793.75,1563.098161
87,191.8,191800,1563.047226
,191.80625,191806.25,1562.996294
,191.8125,191812.5,1562.945366
,191.81875,191818.75,1562.894441
,191.825,191825,1562.843519
,191.83125,191831.25,1562.7926
,191.8375,191837.5,1562.741685
,191.84375,191843.75,1562.690773
86,191.85,191850,1562.639864
,191.85625,191856.25,1562.588959
,191.8625,191862.5,1562.538057
,191.86875,191868.75,1562.487159
,191.875,191875,1562.436263
,191.88125,191881.25,1562.385371
,191.8875,191887.5,1562.334482
,191.89375,191893.75,1562.283597
85,191.9,191900,1562.232715
,191.90625,191906.25,1562.181836
,191.9125,191912.5,1562.130961
,191.91875,191918.75,1562.080089
,191.925,191925,1562.02922
,191.93125,191931.25,1561.978354
,191.9375,191937.5,1561.927492
,191.94375,191943.75,1561.876633
84,191.95,191950,1561.825778
,191.95625,191956.25,1561.774925
,191.9625,191962.5,1561.724076
,191.96875,191968.75,1561.673231
,191.975,191975,1561.622388
,191.98125,191981.25,1561.571549
,191.9875,191987.5,1561.520714
,191.99375,191993.75,1561.469881
83,192,192000,1561.419052
,192.00625,192006.25,1561.368226
,192.0125,192012.5,1561.317404
,192.01875,192018.75,1561.266585
,192.025,192025,1561.215769
,192.03125,192031.25,1561.164956
,192.0375,192037.5,1561.114147
,192.04375,192043.75,1561.063341
82,192.05,192050,1561.012538
,192.05625,192056.25,1560.961739
,192.0625,192062.5,1560.910943
,192.06875,192068.75,1560.86015
,192.075,192075,1560.809361
,192.08125,192081.25,1560.758575
,192.0875,192087.5,1560.707792
,192.09375,192093.75,1560.657013
81,192.1,192100,1560.606236
,192.10625,192106.25,1560.555463
,192.1125,192112.5,1560.504694
,192.11875,192118.75,1560.453928
,192.125,192125,1560.403165
,192.13125,192131.25,1560.352405
,192.1375,192137.5,1560.301649
,192.14375,192143.75,1560.250895
80,192.15,192150,1560.200146
,192.15625,192156.25,1560.149399
,192.1625,192162.5,1560.098656
,192.16875,192168.75,1560.047916
,192.175,192175,1559.99718
,192.18125,192181.25,1559.946446
,192.1875,192187.5,1559.895716
,192.19375,192193.75,1559.84499
79,192.2,192200,1559.794266
,192.20625,192206.25,1559.743546
,192.2125,192212.5,1559.69283
,192.21875,192218.75,1559.642116
,192.225,192225,1559.591406
,192.23125,192231.25,1559.540699
,192.2375,192237.5,1559.489995
,192.24375,192243.75,1559.439295
78,192.25,192250,1559.388598
,192.25625,192256.25,1559.337904
,192.2625,192262.5,1559.287214
,192.26875,192268.75,1559.236527
,192.275,192275,1559.185843
,192.28125,192281.25,1559.135163
,192.2875,192287.5,1559.084485
,192.29375,192293.75,1559.033812
77,192.3,192300,1558.983141
,192.30625,192306.25,1558.932474
,192.3125,192312.5,1558.88181
,192.31875,192318.75,1558.831149
,192.325,192325,1558.780491
,192.33125,192331.25,1558.729837
,192.3375,192337.5,1558.679186
,192.34375,192343.75,1558.628539
76,192.35,192350,1558.577894
,192.35625,192356.25,1558.527253
,192.3625,192362.5,1558.476616
,192.36875,192368.75,1558.425981
,192.375,192375,1558.37535
,192.38125,192381.25,1558.324722
,192.3875,192387.5,1558.274098
,192.39375,192393.75,1558.223477
75,192.4,192400,1558.172859
,192.40625,192406.25,1558.122244
,192.4125,192412.5,1558.071633
,192.41875,192418.75,1558.021024
,192.425,192425,1557.97042
,192.43125,192431.25,1557.919818
,192.4375,192437.5,1557.86922
,192.44375,192443.75,1557.818625
74,192.45,192450,1557.768033
,192.45625,192456.25,1557.717445
,192.4625,192462.5,1557.66686
,192.46875,192468.75,1557.616278
,192.475,192475,1557.565699
,192.48125,192481.25,1557.515124
,192.4875,192487.5,1557.464552
,192.49375,192493.75,1557.413984
73,192.5,192500,1557.363418
,192.50625,192506.25,1557.312856
,192.5125,192512.5,1557.262297
,192.51875,192518.75,1557.211742
,192.525,192525,1557.161189
,192.53125,192531.25,1557.11064
,192.5375,192537.5,1557.060095
,192.54375,192543.75,1557.009552
72,192.55,192550,1556.959013
,192.55625,192556.25,1556.908477
,192.5625,192562.5,1556.857945
,192.56875,192568.75,1556.807416
,192.575,192575,1556.75689
,192.58125,192581.25,1556.706367
,192.5875,192587.5,1556.655847
,192.59375,192593.75,1556.605331
71,192.6,192600,1556.554818
,192.60625,192606.25,1556.504309
,192.6125,192612.5,1556.453802
,192.61875,192618.75,1556.403299
,192.625,192625,1556.352799
,192.63125,192631.25,1556.302303
,192.6375,192637.5,1556.25181
,192.64375,192643.75,1556.20132
70,192.65,192650,1556.150833
,192.65625,192656.25,1556.10035
,192.6625,192662.5,1556.04987
,192.66875,192668.75,1555.999393
,192.675,192675,1555.948919
,192.68125,192681.25,1555.898449
,192.6875,192687.5,1555.847982
,192.69375,192693.75,1555.797518
69,192.7,192700,1555.747058
,192.70625,192706.25,1555.6966
,192.7125,192712.5,1555.646146
,192.71875,192718.75,1555.595696
,192.725,192725,1555.545248
,192.73125,192731.25,1555.494804
,192.7375,192737.5,1555.444363
,192.74375,192743.75,1555.393926
68,192.75,192750,1555.343492
,192.75625,192756.25,1555.293061
,192.7625,192762.5,1555.242633
,192.76875,192768.75,1555.192208
,192.775,192775,1555.141787
,192.78125,192781.25,1555.091369
,192.7875,192787.5,1555.040954
,192.79375,192793.75,1554.990543
67,192.8,192800,1554.940135
,192.80625,192806.25,1554.88973
,192.8125,192812.5,1554.839328
,192.81875,192818.75,1554.78893
,192.825,192825,1554.738535
,192.83125,192831.25,1554.688143
,192.8375,192837.5,1554.637755
,192.84375,192843.75,1554.587369
66,192.85,192850,1554.536987
,192.85625,192856.25,1554.486609
,192.8625,192862.5,1554.436233
,192.86875,192868.75,1554.385861
,192.875,192875,1554.335492
,192.88125,192881.25,1554.285126
,192.8875,192887.5,1554.234764
,192.89375,192893.75,1554.184405
65,192.9,192900,1554.134049
,192.90625,192906.25,1554.083696
,192.9125,192912.5,1554.033347
,192.91875,192918.75,1553.983001
,192.925,192925,1553.932658
,192.93125,192931.25,1553.882318
,192.9375,192937.5,1553.831982
,192.94375,192943.75,1553.781649
64,192.95,192950,1553.731319
,192.95625,192956.25,1553.680992
,192.9625,192962.5,1553.630669
,192.96875,192968.75,1553.580349
,192.975,192975,1553.530032
,192.98125,192981.25,1553.479719
,192.9875,192987.5,1553.429409
,192.99375,192993.75,1553.379102
63,193,193000,1553.328798
,193.00625,193006.25,1553.278497
,193.0125,193012.5,1553.2282
,193.01875,193018.75,1553.177906
,193.025,193025,1553.127616
,193.03125,193031.25,1553.077328
,193.0375,193037.5,1553.027044
,193.04375,193043.75,1552.976763
62,193.05,193050,1552.926485
,193.05625,193056.25,1552.876211
,193.0625,193062.5,1552.82594
,193.06875,193068.75,1552.775672
,193.075,193075,1552.725407
,193.08125,193081.25,1552.675146
,193.0875,193087.5,1552.624888
,193.09375,193093.75,1552.574633
61,193.1,193100,1552.524381
,193.10625,193106.25,1552.474133
,193.1125,193112.5,1552.423888
,193.11875,193118.75,1552.373646
,193.125,193125,1552.323407
,193.13125,193131.25,1552.273172
,193.1375,193137.5,1552.22294
,193.14375,193143.75,1552.172711
60,193.15,193150,1552.122485
,193.15625,193156.25,1552.072263
,193.1625,193162.5,1552.022044
,193.16875,193168.75,1551.971828
,193.175,193175,1551.921615
,193.18125,193181.25,1551.871406
,193.1875,193187.5,1551.8212
,193.19375,193193.75,1551.770997
59,193.2,193200,1551.720797
,193.20625,193206.25,1551.670601
,193.2125,193212.5,1551.620408
,193.21875,193218.75,1551.570218
,193.225,193225,1551.520031
,193.23125,193231.25,1551.469848
,193.2375,193237.5,1551.419668
,193.24375,193243.75,1551.369491
58,193.25,193250,1551.319317
,193.25625,193256.25,1551.269147
,193.2625,193262.5,1551.218979
,193.26875,193268.75,1551.168815
,193.275,193275,1551.118655
,193.28125,193281.25,1551.068497
,193.2875,193287.5,1551.018343
,193.29375,193293.75,1550.968192
57,193.3,193300,1550.918044
,193.30625,193306.25,1550.8679
,193.3125,193312.5,1550.817759
,193.31875,193318.75,1550.767621
,193.325,193325,1550.717486
,193.33125,193331.25,1550.667355
,193.3375,193337.5,1550.617226
,193.34375,193343.75,1550.567101
56,193.35,193350,1550.51698
,193.35625,193356.25,1550.466861
,193.3625,193362.5,1550.416746
,193.36875,193368.75,1550.366634
,193.375,193375,1550.316525
,193.38125,193381.25,1550.266419
,193.3875,193387.5,1550.216317
,193.39375,193393.75,1550.166218
55,193.4,193400,1550.116122
,193.40625,193406.25,1550.066029
,193.4125,193412.5,1550.01594
,193.41875,193418.75,1549.965854
,193.425,193425,1549.915771
,193.43125,193431.25,1549.865691
,193.4375,193437.5,1549.815615
,193.44375,193443.75,1549.765542
54,193.45,193450,1549.715472
,193.45625,193456.25,1549.665405
,193.4625,193462.5,1549.615341
,193.46875,193468.75,1549.565281
,193.475,193475,1549.515224
,193.48125,193481.25,1549.46517
,193.4875,193487.5,1549.41512
,193.49375,193493.75,1549.365073
53,193.5,193500,1549.315028
,193.50625,193506.25,1549.264988
,193.5125,193512.5,1549.21495
,193.51875,193518.75,1549.164916
,193.525,193525,1549.114884
,193.53125,193531.25,1549.064856
,193.5375,193537.5,1549.014832
,193.54375,193543.75,1548.96481
52,193.55,193550,1548.914792
,193.55625,193556.25,1548.864777
,193.5625,193562.5,1548.814765
,193.56875,193568.75,1548.764757
,193.575,193575,1548.714751
,193.58125,193581.25,1548.664749
,193.5875,193587.5,1548.61475
,193.59375,193593.75,1548.564755
51,193.6,193600,1548.514762
,193.60625,193606.25,1548.464773
,193.6125,193612.5,1548.414787
,193.61875,193618.75,1548.364805
,193.625,193625,1548.314825
,193.63125,193631.25,1548.264849
,193.6375,193637.5,1548.214876
,193.64375,193643.75,1548.164906
50,193.65,193650,1548.114939
,193.65625,193656.25,1548.064976
,193.6625,193662.5,1548.015016
,193.66875,193668.75,1547.965059
,193.675,193675,1547.915105
,193.68125,193681.25,1547.865155
,193.6875,193687.5,1547.815207
,193.69375,193693.75,1547.765263
49,193.7,193700,1547.715323
,193.70625,193706.25,1547.665385
,193.7125,193712.5,1547.615451
,193.71875,193718.75,1547.56552
,193.725,193725,1547.515592
,193.73125,193731.25,1547.465667
,193.7375,193737.5,1547.415746
,193.74375,193743.75,1547.365827
48,193.75,193750,1547.315912
,193.75625,193756.25,1547.266
,193.7625,193762.5,1547.216092
,193.76875,193768.75,1547.166186
,193.775,193775,1547.116284
,193.78125,193781.25,1547.066385
,193.7875,193787.5,1547.01649
,193.79375,193793.75,1546.966597
47,193.8,193800,1546.916708
,193.80625,193806.25,1546.866822
,193.8125,193812.5,1546.816939
,193.81875,193818.75,1546.767059
,193.825,193825,1546.717183
,193.83125,193831.25,1546.66731
,193.8375,193837.5,1546.61744
,193.84375,193843.75,1546.567573
46,193.85,193850,1546.51771
,193.85625,193856.25,1546.467849
,193.8625,193862.5,1546.417992
,193.86875,193868.75,1546.368138
,193.875,193875,1546.318288
,193.88125,193881.25,1546.26844
,193.8875,193887.5,1546.218596
,193.89375,193893.75,1546.168755
45,193.9,193900,1546.118917
,193.90625,193906.25,1546.069082
,193.9125,193912.5,1546.019251
,193.91875,193918.75,1545.969423
,193.925,193925,1545.919598
,193.93125,193931.25,1545.869776
,193.9375,193937.5,1545.819957
,193.94375,193943.75,1545.770142
44,193.95,193950,1545.72033
,193.95625,193956.25,1545.670521
,193.9625,193962.5,1545.620715
,193.96875,193968.75,1545.570913
,193.975,193975,1545.521114
,193.98125,193981.25,1545.471317
,193.9875,193987.5,1545.421525
,193.99375,193993.75,1545.371735
43,194,194000,1545.321948
,194.00625,194006.25,1545.272165
,194.0125,194012.5,1545.222385
,194.01875,194018.75,1545.172608
,194.025,194025,1545.122835
,194.03125,194031.25,1545.073064
,194.0375,194037.5,1545.023297
,194.04375,194043.75,1544.973533
42,194.05,194050,1544.923772
,194.05625,194056.25,1544.874015
,194.0625,194062.5,1544.82426
,194.06875,194068.75,1544.774509
,194.075,194075,1544.724761
,194.08125,194081.25,1544.675016
,194.0875,194087.5,1544.625275
,194.09375,194093.75,1544.575536
41,194.1,194100,1544.525801
,194.10625,194106.25,1544.476069
,194.1125,194112.5,1544.42634
,194.11875,194118.75,1544.376615
,194.125,194125,1544.326892
,194.13125,194131.25,1544.277173
,194.1375,194137.5,1544.227457
,194.14375,194143.75,1544.177745
40,194.15,194150,1544.128035
,194.15625,194156.25,1544.078329
,194.1625,194162.5,1544.028626
,194.16875,194168.75,1543.978926
,194.175,194175,1543.929229
,194.18125,194181.25,1543.879535
,194.1875,194187.5,1543.829845
,194.19375,194193.75,1543.780158
39,194.2,194200,1543.730474
,194.20625,194206.25,1543.680793
,194.2125,194212.5,1543.631115
,194.21875,194218.75,1543.581441
,194.225,194225,1543.53177
,194.23125,194231.25,1543.482102
,194.2375,194237.5,1543.432437
,194.24375,194243.75,1543.382776
38,194.25,194250,1543.333117
,194.25625,194256.25,1543.283462
,194.2625,194262.5,1543.23381
,194.26875,194268.75,1543.184161
