CKT_TRAIL_ID,TRAIL_NAME,A_EQUIPMENT_TID,A_EQUIPMENT_MODEL,Z_EQUIPMENT_TID,Z_EQUIPMENT_MODEL
103317,/KGGS/738183//NJ,CHPQNYCP-0111104A,CS NCS4202 DC SHELF,NWRCNY-0330604A,CS NCS4202 DC SHELF
103344,/KGGS/738184//NJ,PSWYNJCF-0100001A,CS NCS4202 DC SHELF,PSWYNJCF-0100001A,CS NCS4202 DC SHELF
103381,/KGGS/738185//NJ,ORNGNJDI-RFCAB01A,CS NCS4202 DC SHELF,ORNGNJDI-RFCAB01A,CS NCS4202 DC SHELF
103385,/KGGS/738186//NJ,ELZBNJVC-CG00001A,CS NCS4202 DC SHELF,ELZBNJVC-CG00001A,CS NCS4202 DC SHELF
103944,/KGGS/738189//NJ,PSSCNJFI-00000WMAA,CS NCS4202 SHELF,PSSCNJFI-00000WMAA,CS NCS4202 SHELF
103952,/KGGS/738190//NJ,NWRLNJGV-RFCAB01A,CS NCS4202 DC SHELF,NWRLNJGV-RFCAB01A,CS NCS4202 DC SHELF
103954,/KGGS/738191//NJ,SSHGNJAA-CB00001A,CS NCS4202 DC SHELF,SSHGNJAA-CB00001A,CS NCS4202 DC SHELF
103955,/KGGS/738192//NJ,PRNYNJ87-0100001A,CS NCS4202 DC SHELF,PRNYNJ87-0100001A,CS NCS4202 DC SHELF
103970,/KGGS/738193//NJ,PLFDNJAM-RFCAB01A,CS NCS4202 DC SHELF,PLFDNJAM-RFCAB01A,CS NCS4202 DC SHELF
103943,/KGGS/738194//NJ,JCSNNJBV-CG00001A,CS NCS4202 DC SHELF,JCSNNJBV-CG00001A,CS NCS4202 DC SHELF
104802,/KGGS/738196//NJ,NWRMNJ40-RFCAB01A,CS NCS4202 DC SHELF,NWRMNJ40-RFCAB01A,CS NCS4202 DC SHELF
124395,/KGGS/738251//NJ,NIAPNJ01-00CAB03A,CS NCS4202 DC SHELF,,
100180,/KJGD/000003//NJ,WAYNNJAWW010120410B,CS_NCS540_SHELF,WAYNNJAWW010120410B,CS_NCS540_SHELF
100179,/KJGD/000004//NJ,WAYNNJAWW010120110B,CS_NCS540_SHELF,WAYNNJAWW010120110B,CS_NCS540_SHELF
103424,/KJGD/000006//NJ,WAYNNJAWW010120410C,CS_NCS540_SHELF,WAYNNJAWW010120410C,CS_NCS540_SHELF
