<L3Circuits>,,,,,,,,,,
Name,NodeA,InterfaceA,NodeB,InterfaceB,Capacity,L1CircuitNodeA,L1CircuitPortA,L1CircuitNodeB,L1CircuitPortB,Tags
I1002/GE40/WDMRNYFR/WDMRNYFR,WDMRNYFR-0222642A,FortyGigE0/4/0/4.4001,WDMRNYFR-0222733A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1002/GE40/NYCKNYTY/NYCKNYTY,NYCKNYTY-0115404A,FortyGigE0/5/0/4.4001,NYCKNYTY-0115502A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1002/GE40/FTWSPAFW/FTWSPAFW,FTWSPAFW-0330606A,FortyGigE0/5/0/4.4001,FTWSPAFW-0330814A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1004/GE40/NYCQNYOP/NYCQNYOP,NYCQNYOP-0330040A,FortyGigE0/0/7/0,NYCQNYOP-0330052A,FortyGigE0/4/0/3.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/ENPTNYEN/HNSTNYHU,ENPTNYEN-0113629A,HundredGigE0/0/0/11/2.4001,HNSTNYHU-0115430A,HundredGigE0/3/0/11/2.4001,100000,ENPTNYEN-0113635A,I1001/OTUC2/ENPTNYEN/HNSTNYHU,HNSTNYHU-0115424A,I1001/OTUC2/ENPTNYEN/HNSTNYHU,L1 circuit field is correct as provided
I1032/GE100/SYOSNYGN/SYOSNYGN,SYOSNYGN-0121215,HundredGigE0/0/1/1.4001,SYOSNYGN-0121217A,HundredGigE0/15/0/1.4001,100000,,,,,L1 circuit field is correct as provided
I1001/GE40/GMBODEGB/GMBODEGB,GMBODEGB-0110501A,FortyGigE0/0/0/4.4001,GMBODEGB-0110502A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/NWRKNJ02/NWRKNJ03,NWRKNJ02-0662311A,HundredGigE0/4/0/11/2.4001,NWRKNJ03-0113104A,HundredGigE0/4/0/11/2.4001,100000,NWRKNJ02-0662323A,I1001/OTUC2/NWRKNJ02/NWRKNJ03,NWRKNJ03-0113110A,I1001/OTUC2/NWRKNJ02/NWRKNJ03,L1 circuit field is correct as provided
I1001/GE40/LTFYNJLF/LTFYNJLF,LTFYNJLF-0220444A,FortyGigE0/11/0/4.4001,LTFYNJLF-0220552A,FortyGigE0/0/8/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/CDKNNJCK/RVDLNJPL,CDKNNJCK-0004720A,HundredGigE0/10/0/11/2.4001,RVDLNJPL-0226429A,HundredGigE0/11/0/11/2.4001,100000,CDKNNJCK-00004714A,I1001/OTUC2/CDKNNJCK/RVDLNJPL,RVDLNJPL-0226328A,I1001/OTUC2/CDKNNJCK/RVDLNJPL,L1 circuit field is correct as provided
I1001/GE100/NYCMNY18/NYCMNY37,NYCMNY18-0777203A,HundredGigE0/1/0/11/2.4001,NYCMNY37-0771105A,HundredGigE0/0/0/11/2.4001,100000,NYCMNY18-0777206A,I1002/OTUC2/NYCMNY18/NYCMNY37,NYCMNY37-0771102A,I1002/OTUC2/NYCMNY18/NYCMNY37,L1 circuit field is correct as provided
I1001/GE100/ATLCGABX/TAMPFLXAW0E,ATLCGABX-0113302A,HundredGigE0/5/0/0.4001,TAMPFLXAW0E1210202A,HundredGigE0/12/0/0.4001,100000,,,,,L1 circuit field is correct as provided
I1005/GE100/LYBRNYLB/NYCKNYAL,LYBRNYLB-01153A08A,HundredGigE0/14/0/10/2.4001,NYCKNYAL-0223502A,HundredGigE0/4/0/11/2.4001,100000,LYBRNYLB-01153A02A,I1001/OTUC2/LYBRNYLB/NYCKNYAL,NYCKNYAL-0223402A,I1001/OTUC2/LYBRNYLB/NYCKNYAL,L1 circuit field is correct as provided
I1003/GE40/NYCKNYAL/NYCKNYAL,NYCKNYAL-0223404A,FortyGigE0/0/7/0,NYCKNYAL-0223502A,FortyGigE0/6/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1002/GE40/PTCHNYPC/PTCHNYPC,PTCHNYPC-0221430A,FortyGigE0/0/7/0,PTCHNYPC-0221440A,FortyGigE0/5/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1001/GE100/NYCQNYJA/NYCQNYOP,NYCQNYJA-0110505A,HundredGigE0/5/0/11/2.4001,NYCQNYOP-0330052A,HundredGigE0/12/0/11/2.4001,100000,NYCQNYJA-0110502A,I1001/OTUC2/NYCQNYJA/NYCQNYOP,NYCQNYOP-0330046A,I1001/OTUC2/NYCQNYJA/NYCQNYOP,L1 circuit field is correct as provided
I1001/GE40/NYCXNYHO/NYCXNYHO,NYCXNYHO-0550310A,FortyGigE0/0/8/0,NYCXNYHO-0550314A,FortyGigE0/0/0/4.4001,40000,,,,,L1 circuit field is correct as provided
I1002/GE40/TRSPFL06/TRSPFL06,TRSPFL06-0110104A,FortyGigE0/5/0/0.4001,TRSPFL06-0110105A,FortyGigE0/0/7/0,40000,,,,,L1 circuit field is correct as provided
I1001/GE40/IVTNNJES/IVTNNJES,IVTNNJES-0220229A,FortyGigE0/0/8/0,IVTNNJES-0220509A,FortyGigE0/11/0/4.4001,40000,,,,,L1 circuit field is correct as provided
