TRAIL_ID,TRAIL_NAME,BANDWIDTH,VERSION,STATUS,TYPE,A_SITE_NAME,Z_SITE_NAME,REQUESTED_BANDWIDTH,TOTAL_CHANNELS,TOTAL_CHANNELS_USED,MILEAGE,A_EQUIPMENT_TID,A_EQUIPMENT_TYPE,A_EQUIPMENT_VENDOR,A_PORT_NAME,A_PORT_AID,Z_EQUIPMENT_TID,Z_EQUIPMENT_TYPE,Z_EQUIPMENT_VENDOR,Z_PORT_NAME,Z_PORT_AID,A_EQUIPMENT_MODEL,Z_EQUIPMENT_MODEL,A_NETWORK_DOMAIN,Z_NETWORK_DOMAIN,A_EQUIPMENT_PHYSICAL_TID,Z_EQUIPMENT_PHYSICAL_TID
641,I1075/OM96/CHKTNYFR/WSNCNYUN,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,CHKTNYFR,WSNCNYUN,DWDM96,96,2,3,CHKTNYFR-0112438A,CIENA_T6500,CIENA,5 Line Out,LINE-1-6-5,WSNCNYUN-0114200A,CIENA_T6500,CIENA,8 Line In,LINE-1-7-8,CI_6500_TSHELF,CI_6500_TSHELF,Ciena_FSA2_8,Ciena_FSA2_8,CHKTNYFR-0112438A,WSNCNYUN-0114200A
761,I1083/OM96/ORPKNYST/WSNCNYUN,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,ORPKNYST,WSNCNYUN,DWDM96,96,1,4,ORPKNYST-0110801A,CIENA_T6500,CIENA,5 Line Out,LINE-1-7-5,WSNCNYUN-0114200A,CIENA_T6500,CIENA,8 Line In,LINE-1-6-8,CI_6500_TSHELF,CI_6500_TSHELF,Ciena_FSA2_8,Ciena_FSA2_8,ORPKNYST-0110801A,WSNCNYUN-0114200A
762,I1084/OM96/BFLONYMA/WSVLNYNC,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,BFLONYMA,WSVLNYNC,DWDM96,96,9,5,BFLONYMA-0334701A,CIENA_T6500,CIENA,5 Line Out,LINE-1-7-5,WSVLNYNC-0111102A,CIENA_T6500,CIENA,8 Line In,LINE-1-6-8,CI_6500_TSHELF,CI_6500_TSHELF,Ciena_FSA2_8,Ciena_FSA2_8,BFLONYMA-0334701A,WSVLNYNC-0111102A
547,I1068/OM96/BFLONYFR/BFLONYSP,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,BFLONYFR,BFLONYSP,DWDM96,96,10,4,BFLONYFR-0771904A,CIENA_T6500,CIENA,05 LINEOUT,LINE-1-7-5,BFLONYSP-0223612A,CIENA_T6500,CIENA,08 LINE IN,LINE-1-6-8,CI_6500_TSHELF,CI_6500_TSHELF,Ciena_FSA2_8,Ciena_FSA2_8,BFLONYFR-0771904A,BFLONYSP-0223612A
721,I1081/OM96/BFLONYSP/HMBGNYHB,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,BFLONYSP,HMBGNYHB,DWDM96,96,9,9,BFLONYSP-0223612A,CIENA_T6500,CIENA,05 LINEOUT,LINE-1-7-5,HMBGNYHB-0112440A,CIENA_T6500,CIENA,8 Line In,LINE-1-6-8,CI_6500_TSHELF,CI_6500_TSHELF,Ciena_FSA2_8,Ciena_FSA2_8,BFLONYSP-0223612A,HMBGNYHB-0112440A
1001,I1103/OM96/BFLONYHE/TNWNNYTW,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,BFLONYHE,TNWNNYTW,DWDM96,96,8,5,BFLONYHE-0112403A,CIENA_T6500,CIENA,5 Line Out,LINE-1-6-5,TNWNNYTW-0220706A,CIENA_T6500,CIENA,08 LINE IN,LINE-1-7-8,CI_6500_TSHELF,CI_6500_TSHELF,Ciena_FSA2_8,Ciena_FSA2_8,BFLONYHE-0112403A,TNWNNYTW-0220706A
1043,I1105/OM96/BFLONYEL/BFLONYHE,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,BFLONYEL,BFLONYHE,DWDM96,96,7,2,BFLONYEL-0112909A,CIENA_T6500,CIENA,5 Line Out,LINE-1-6-5,BFLONYHE-0112403A,CIENA_T6500,CIENA,8 Line In,LINE-1-7-8,CI_6500_TSHELF,CI_6500_TSHELF,Ciena_FSA2_8,Ciena_FSA2_8,BFLONYEL-0112909A,BFLONYHE-0112403A
1044,I1106/OM96/AMHRNYMP/TNWNNYTW,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,AMHRNYMP,TNWNNYTW,DWDM96,96,8,6,AMHRNYMP-0118700A,CIENA_T6500,CIENA,5 Line Out,LINE-1-7-5,TNWNNYTW-0220706A,CIENA_T6500,CIENA,08 LINE IN,LINE-1-6-8,Ciena 6500 T-12 SHELF,CI_6500_TSHELF,Ciena_FSA2_8,Ciena_FSA2_8,AMHRNYMP-0118700A,TNWNNYTW-0220706A
741,I1082/OM96/HMBGNYHB/ORPKNYST,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,HMBGNYHB,ORPKNYST,DWDM96,96,2,6,HMBGNYHB-0112440A,CIENA_T6500,CIENA,5 Line Out,LINE-1-7-5,ORPKNYST-0110801A,CIENA_T6500,CIENA,8 Line In,LINE-1-6-8,CI_6500_TSHELF,CI_6500_TSHELF,Ciena_FSA2_8,Ciena_FSA2_8,HMBGNYHB-0112440A,ORPKNYST-0110801A
1045,I1107/OM96/AMHRNYMP/WSVLNYNC,DWDM96,1,IN EFFECT,DWDM_INFRASTRUCTURE,AMHRNYMP,WSVLNYNC,DWDM96,96,7,4,AMHRNYMP-0118700A,CIENA_T6500,CIENA,5 Line Out,LINE-1-6-5,WSVLNYNC-0111102A,CIENA_T6500,CIENA,8 Line In,LINE-1-7-8,Ciena 6500 T-12 SHELF,CI_6500_TSHELF,Ciena_FSA2_8,Ciena_FSA2_8,AMHRNYMP-0118700A,WSVLNYNC-0111102A
